Formula,Predicted_Bandgap_eV,Predicted_Ef_eV_atom,Active_Material_Cost_m2,Panel_Lifetime_Years,PCE_Median,LCOE_Median,LCOE_Q10_Best,LCOE_Q90_Worst
K2CrMnO3F3,2.10019,-2.55246,0.05096,30.00000,16.28256,0.04700,0.03639,0.07436
Rb2SnFeS3Se3,0.99621,-0.94884,22.90886,30.00000,19.89343,0.04701,0.03685,0.57860
Rb2TiMoO3S3,1.83133,-2.06325,33.71149,30.00000,21.17408,0.04704,0.03916,0.06745
Rb2SnInO3Cl3,1.87046,-1.83478,29.05025,30.00000,20.47019,0.04707,0.03875,0.06842
K2GeSbO3Cl3,2.04251,-1.77313,8.08936,30.00000,17.40850,0.04708,0.03709,0.07315
Na2MoInO3Cl3,2.09070,-1.80201,2.10030,30.00000,16.51621,0.04709,0.03661,0.07444
Rb2VNbO3S3,1.82832,-2.11544,33.70174,30.00000,21.17549,0.04710,0.03918,0.06772
K2SnVO3Cl3,2.10287,-1.93042,0.16829,30.00000,16.16525,0.04721,0.03645,0.07474
Na2MoInO3F3,2.09019,-2.37699,2.38822,30.00000,16.44956,0.04722,0.03664,0.07493
K2GeCrO3S3,2.03244,-1.64793,9.81773,30.00000,17.52936,0.04723,0.03716,0.07346
K2TiGaO3Cl3,2.09155,-2.19320,2.37577,30.00000,16.43180,0.04728,0.03665,0.07486
K2ZrCrO3F3,2.10703,-2.80170,0.09948,30.00000,16.13381,0.04731,0.03653,0.07545
Na2ZrSbO3Cl3,2.10677,-2.05549,0.18410,30.00000,16.08689,0.04737,0.03652,0.07495
K2SnInO3F3,2.09788,-2.40128,2.02520,30.00000,16.29547,0.04747,0.03667,0.07534
Rb2WFeO3Cl3,1.90128,-1.71596,27.34980,30.00000,19.94575,0.04747,0.03870,0.06996
Rb2MoSbO3Cl3,1.89135,-1.85154,28.58029,30.00000,20.07556,0.04750,0.03886,0.06935
Na2GeCuBr6,0.95449,-1.19082,5.15909,30.00000,16.73602,0.04754,0.03449,0.51199
Rb2CrAgSe3I3,0.98201,-1.03205,18.14073,30.00000,18.75442,0.04755,0.03622,0.55995
K2SnMoO3S3,2.11843,-1.76569,0.25978,30.00000,15.97368,0.04757,0.03663,0.07637
K2TiBiO3Cl3,2.11782,-2.08967,0.17159,30.00000,15.92539,0.04759,0.03667,0.07655
