Target_Bandgap_eV,ML_MAE_eV,PCE_Current,PCE_Future,Percent_SQ_Current,Percent_SQ_Future,LCOE_Penalty_Current,LCOE_Penalty_Future
1.38750,0.12500,0.22852,0.27802,68.29136,83.08256,0.00186,0.00049
1.44167,0.12500,0.22619,0.27533,68.83642,83.79364,0.00119,0.00034
1.49583,0.12500,0.22249,0.26971,69.19549,83.87888,0.00112,0.00036
1.55000,0.12500,0.21644,0.26410,69.48262,84.78393,0.00084,0.00012
1.60417,0.12500,0.20968,0.25490,69.63138,84.64940,0.00058,0.00008
1.65833,0.12500,0.20252,0.24517,69.89337,84.61331,0.00043,0.00011
1.71250,0.12500,0.19428,0.23627,69.85509,84.94969,0.00020,0.00010
1.76667,0.12500,0.18545,0.22512,69.80574,84.73929,0.00033,0.00011
1.82083,0.12500,0.17728,0.21474,70.01502,84.80723,0.00029,0.00010
1.87500,0.12500,0.16874,0.20484,70.09005,85.08216,0.00000,0.00000
1.92917,0.12500,0.15988,0.19426,69.94266,84.98254,0.00000,0.00000
1.98333,0.12500,0.15165,0.18456,69.99081,85.18317,0.00057,0.00000
2.03750,0.12500,0.14313,0.17379,69.90534,84.87997,0.00000,0.00010
2.09167,0.12500,0.13572,0.16499,70.37999,85.55998,0.00000,0.00000
2.14583,0.12500,0.12781,0.15459,70.46944,85.23178,0.00000,0.00000
2.20000,0.12500,0.11935,0.14475,70.20723,85.14910,0.00000,0.00000
0.90000,0.15000,0.10361,0.12781,71.45409,88.14524,0.00000,0.00000
0.95417,0.15000,0.13967,0.17013,70.12641,85.42319,0.00000,0.00000
1.00833,0.15000,0.17298,0.20776,69.30631,83.24379,0.00182,0.00063
1.06250,0.15000,0.19198,0.23520,68.71621,84.18811,0.00233,0.00056
1.11667,0.15000,0.20722,0.25305,68.01588,83.05933,0.00309,0.00084
1.17083,0.15000,0.21644,0.26473,67.67161,82.77162,0.00294,0.00090
1.22500,0.15000,0.22247,0.27192,67.41533,82.40146,0.00318,0.00082
1.27917,0.15000,0.22606,0.27506,67.61572,82.26981,0.00276,0.00079
1.33333,0.15000,0.22707,0.27649,67.41210,82.08647,0.00290,0.00077
1.38750,0.15000,0.22729,0.27593,67.92511,82.45897,0.00229,0.00067
1.44167,0.15000,0.22462,0.27307,68.36053,83.10449,0.00139,0.00047
1.49583,0.15000,0.22130,0.26893,68.82469,83.63844,0.00161,0.00041
1.55000,0.15000,0.21531,0.26276,69.12017,84.35154,0.00103,0.00018
1.60417,0.15000,0.20894,0.25484,69.38695,84.62946,0.00087,0.00020
1.65833,0.15000,0.20209,0.24588,69.74603,84.85897,0.00050,0.00013
1.71250,0.15000,0.19500,0.23572,70.11124,84.75159,0.00025,0.00000
1.76667,0.15000,0.18522,0.22528,69.71789,84.79765,0.00061,0.00011
1.82083,0.15000,0.17760,0.21540,70.14056,85.06731,0.00000,0.00007
1.87500,0.15000,0.16904,0.20519,70.21400,85.22858,0.00008,0.00000
1.92917,0.15000,0.16040,0.19470,70.17098,85.17862,0.00026,0.00000
1.98333,0.15000,0.15195,0.18399,70.13080,84.91786,0.00000,0.00004
2.03750,0.15000,0.14373,0.17404,70.19764,85.00194,0.00012,0.00001
2.09167,0.15000,0.13517,0.16372,70.09569,84.90054,0.00022,0.00000
2.14583,0.15000,0.12690,0.15455,69.96710,85.21121,0.00021,0.00000
2.20000,0.15000,0.11963,0.14436,70.36829,84.91964,0.00000,0.00000
0.90000,0.17500,0.10411,0.12689,71.79728,87.51341,0.00000,0.00000
0.95417,0.17500,0.13898,0.17096,69.78235,85.83876,0.00033,0.00000
1.00833,0.17500,0.17028,0.20740,68.22480,83.09940,0.00312,0.00093
1.06250,0.17500,0.19172,0.23506,68.62416,84.13877,0.00281,0.00067
1.11667,0.17500,0.20726,0.25278,68.02958,82.96919,0.00300,0.00097
1.17083,0.17500,0.21584,0.26293,67.48461,82.20847,0.00339,0.00101
1.22500,0.17500,0.22107,0.26925,66.99053,81.59116,0.00358,0.00099
1.27917,0.17500,0.22358,0.27225,66.87455,81.43167,0.00379,0.00096
1.33333,0.17500,0.22486,0.27393,66.75788,81.32654,0.00365,0.00099
1.38750,0.17500,0.22538,0.27319,67.35296,81.64174,0.00308,0.00095
1.44167,0.17500,0.22272,0.27180,67.78242,82.71894,0.00259,0.00068
1.49583,0.17500,0.21984,0.26684,68.37022,82.98738,0.00191,0.00052
1.55000,0.17500,0.21496,0.26150,69.00699,83.94851,0.00122,0.00034
1.60417,0.17500,0.20922,0.25444,69.47837,84.49695,0.00067,0.00024
1.65833,0.17500,0.20149,0.24549,69.53774,84.72492,0.00049,0.00021
1.71250,0.17500,0.19361,0.23569,69.61094,84.74137,0.00060,0.00007
1.76667,0.17500,0.18530,0.22584,69.74845,85.00980,0.00026,0.00009
1.82083,0.17500,0.17754,0.21521,70.11471,84.99351,0.00000,0.00009
1.87500,0.17500,0.16907,0.20483,70.22442,85.08075,0.00000,0.00000
1.92917,0.17500,0.16014,0.19443,70.05740,85.05961,0.00001,0.00000
1.98333,0.17500,0.15145,0.18395,69.89817,84.89794,0.00000,0.00005
2.03750,0.17500,0.14377,0.17388,70.21656,84.92175,0.00000,0.00005
2.09167,0.17500,0.13476,0.16417,69.88298,85.13478,0.00006,0.00000
2.14583,0.17500,0.12691,0.15384,69.97256,84.81993,0.00000,0.00017
2.20000,0.17500,0.11897,0.14478,69.98117,85.16574,0.00087,0.00011
0.90000,0.20000,0.10374,0.12840,71.54823,88.54832,0.00000,0.00000
0.95417,0.20000,0.13871,0.16765,69.64641,84.17634,0.00123,0.00025
1.00833,0.20000,0.16778,0.20796,67.22540,83.32265,0.00478,0.00064
1.06250,0.20000,0.19189,0.23439,68.68409,83.89965,0.00263,0.00076
1.11667,0.20000,0.20536,0.25116,67.40628,82.43758,0.00375,0.00108
1.17083,0.20000,0.21350,0.26144,66.75440,81.74186,0.00459,0.00112
1.22500,0.20000,0.21823,0.26693,66.13112,80.88899,0.00465,0.00129
1.27917,0.20000,0.22134,0.27024,66.20379,80.82806,0.00432,0.00112
1.33333,0.20000,0.22317,0.27095,66.25645,80.44174,0.00405,0.00121
1.38750,0.20000,0.22269,0.27088,66.54968,80.94990,0.00393,0.00112
1.44167,0.20000,0.22047,0.26849,67.09791,81.71026,0.00321,0.00102
1.49583,0.20000,0.21771,0.26560,67.70940,82.60110,0.00284,0.00074
1.55000,0.20000,0.21358,0.26003,68.56660,83.47561,0.00192,0.00055
1.60417,0.20000,0.20809,0.25302,69.10437,84.02514,0.00117,0.00029
1.65833,0.20000,0.20109,0.24590,69.40043,84.86466,0.00115,0.00006
1.71250,0.20000,0.19441,0.23561,69.90059,84.71367,0.00020,0.00012
1.76667,0.20000,0.18621,0.22494,70.09256,84.66911,0.00000,0.00020
1.82083,0.20000,0.17680,0.21553,69.82570,85.12119,0.00004,0.00007
1.87500,0.20000,0.16869,0.20552,70.06720,85.36758,0.00004,0.00000
1.92917,0.20000,0.16105,0.19451,70.45770,85.09324,0.00000,0.00006
1.98333,0.20000,0.15171,0.18457,70.02158,85.18622,0.00000,0.00000
2.03750,0.20000,0.14412,0.17412,70.39050,85.03968,0.00000,0.00012
2.09167,0.20000,0.13575,0.16389,70.39812,84.99125,0.00000,0.00019
2.14583,0.20000,0.12741,0.15310,70.24673,84.40884,0.00000,0.00018
2.20000,0.20000,0.11962,0.14545,70.36665,85.55912,0.00000,0.00000
0.90000,0.22500,0.10564,0.12393,72.85403,85.46990,0.00000,0.00000
0.95417,0.22500,0.14004,0.16858,70.31273,84.64065,0.00000,0.00023
