ML_MAE_eV,Achieved_PCE_Percent,SQ_Saturation_Percent,LCOE_Penalty_Current,LCOE_Penalty_Future
0.49644,27.29203,97.30222,0.00117,0.00010
0.57366,27.36294,97.55501,0.00106,0.00009
0.20162,27.36330,97.55632,0.00106,0.00009
0.17631,27.80873,99.14438,0.00036,0.00003
0.25983,27.98865,99.78584,0.00009,0.00001
0.48650,28.04756,99.99585,0.00000,0.00000
0.44707,25.04181,89.27968,0.00507,0.00043
0.15635,27.84034,99.25706,0.00032,0.00003
0.28138,28.00877,99.85755,0.00006,0.00001
0.45625,27.12707,96.71408,0.00143,0.00012
0.15310,26.95164,96.08866,0.00172,0.00015
0.44166,27.47925,97.96968,0.00088,0.00007
0.42234,28.03151,99.93863,0.00003,0.00000
0.16424,28.01793,99.89019,0.00005,0.00000
0.26351,27.38487,97.63321,0.00102,0.00009
0.06060,28.03691,99.95788,0.00002,0.00000
0.38737,28.05000,100.00454,0.00000,0.00000
0.17656,28.00350,99.83877,0.00007,0.00001
0.54912,25.69607,91.61227,0.00387,0.00033
0.49952,17.12094,61.03998,0.02695,0.00229
0.07973,28.04179,99.97527,0.00001,0.00000
0.33731,27.31745,97.39286,0.00113,0.00010
0.01632,28.04893,100.00074,0.00000,0.00000
0.42280,26.53805,94.61410,0.00240,0.00020
0.15070,27.95062,99.65022,0.00015,0.00001
0.15882,28.03614,99.95511,0.00002,0.00000
0.48597,0.50000,1.78261,2.32679,0.19770
0.45919,28.04268,99.97843,0.00001,0.00000
0.51595,11.71796,41.77716,0.05885,0.00500
0.06629,28.00467,99.84293,0.00007,0.00001
0.24301,25.11957,89.55690,0.00492,0.00042
0.58080,0.50000,1.78261,2.32679,0.19770
0.01376,28.04914,100.00147,0.00000,0.00000
0.15781,27.26744,97.21454,0.00121,0.00010
0.00836,28.04801,99.99746,0.00000,0.00000
0.30127,26.26060,93.62494,0.00288,0.00024
0.50953,26.59980,94.83425,0.00230,0.00020
0.52589,28.00095,99.82968,0.00007,0.00001
0.29925,27.74216,98.90703,0.00047,0.00004
0.54949,0.50000,1.78261,2.32679,0.19770
0.24135,27.67857,98.68030,0.00056,0.00005
0.44185,0.50000,1.78261,2.32679,0.19770
0.29679,28.02889,99.92929,0.00003,0.00000
0.05353,28.02841,99.92759,0.00003,0.00000
0.07031,27.96289,99.69399,0.00013,0.00001
0.05239,28.01543,99.88131,0.00005,0.00000
0.50187,28.04966,100.00335,0.00000,0.00000
0.17674,27.51893,98.11117,0.00081,0.00007
0.13380,27.37958,97.61436,0.00103,0.00009
0.25432,24.66183,87.92494,0.00580,0.00049
0.36348,26.68870,95.15119,0.00215,0.00018
0.02101,28.04998,100.00446,0.00000,0.00000
0.04382,28.03517,99.95168,0.00002,0.00000
0.50546,27.14500,96.77802,0.00141,0.00012
0.18995,27.98174,99.76120,0.00010,0.00001
0.36770,27.60035,98.40146,0.00069,0.00006
0.02693,28.04431,99.98426,0.00001,0.00000
0.24942,26.47239,94.38000,0.00251,0.00021
0.21930,27.79957,99.11172,0.00038,0.00003
0.39042,26.65553,95.03294,0.00221,0.00019
0.42330,28.03338,99.94531,0.00002,0.00000
0.05044,28.04958,100.00303,0.00000,0.00000
0.20824,27.77206,99.01364,0.00042,0.00004
0.59715,11.98193,42.71827,0.05663,0.00481
0.18700,27.87278,99.37271,0.00027,0.00002
0.15163,28.02014,99.89807,0.00004,0.00000
0.01829,28.04576,99.98941,0.00000,0.00000
0.49430,19.17365,68.35836,0.01955,0.00166
0.22600,27.71887,98.82398,0.00050,0.00004
0.02832,28.04911,100.00136,0.00000,0.00000
0.11639,27.97177,99.72563,0.00012,0.00001
0.58522,27.88209,99.40591,0.00025,0.00002
0.35686,0.50000,1.78261,2.32679,0.19770
