Formula,Predicted_Bandgap_eV,Predicted_Ef_eV_atom,Active_Material_Cost_m2,Panel_Lifetime_Years,Derate_Factor,Delta_Chi,Tolerance_Factor,Mu_Ratio,PCE_Median,LCOE_Median,LCOE_Q10_Best,LCOE_Q90_Worst,PCE_Old_Median,LCOE_Old_Median,Rank_Old,Rank_New,Rank_Delta
K2MnBiO6,1.39173,-1.86184,0.18543,30.00000,0.85000,0.00000,1.02240,0.50179,25.38592,0.03674,0.03282,0.05184,25.35921,0.03678,26.00000,6.00000,20.00000
K2WSbSe3Br3,1.38124,-1.12396,0.26621,30.00000,0.82518,0.41000,0.99325,0.30457,24.63070,0.03734,0.03328,0.05401,25.38472,0.03678,26.00000,355.00000,-329.00000
Na2MnZnCl3I3,1.37934,-1.26171,0.41007,30.00000,0.81980,0.50000,0.88995,0.34539,24.46821,0.03750,0.03340,0.05451,25.37745,0.03678,26.00000,424.00000,-398.00000
K2CrWSe3Br3,1.42038,-1.28817,0.22425,30.00000,0.82969,0.41000,0.99036,0.30838,24.72459,0.03724,0.03320,0.05096,25.30542,0.03678,26.00000,296.00000,-270.00000
Na2ZrSbSe3Br3,1.37588,-1.38969,0.25558,30.00000,0.82778,0.41000,0.90338,0.33503,24.71360,0.03728,0.03322,0.05446,25.34368,0.03678,26.00000,322.00000,-296.00000
Na2VSbS6,1.37917,-1.06589,0.21977,30.00000,0.85000,0.00000,0.94770,0.30978,25.38918,0.03675,0.03282,0.05310,25.36238,0.03678,26.00000,10.00000,16.00000
K2WSbS3Br3,1.44229,-1.16566,0.18068,30.00000,0.84189,0.38000,1.00126,0.31579,25.03306,0.03698,0.03299,0.04961,25.27371,0.03678,26.00000,160.00000,-134.00000
Na2WFeSe3Cl3,1.42858,-1.21910,0.25187,30.00000,0.81245,0.61000,0.92268,0.32850,24.17603,0.03768,0.03354,0.05140,25.31966,0.03678,26.00000,529.00000,-503.00000
Na2VCuO3Br3,1.33198,-1.70489,0.08718,30.00000,0.85000,0.48000,0.93772,0.37798,25.36999,0.03679,0.03282,0.06039,25.33804,0.03678,26.00000,29.00000,-3.00000
Na2SnSbSe3I3,1.38453,-0.86406,0.50948,30.00000,0.82511,0.11000,0.89972,0.30861,24.62759,0.03739,0.03331,0.05374,25.37774,0.03679,37.00000,381.00000,-344.00000
K2ZrMoS6,1.33318,-1.50570,0.22249,30.00000,0.85000,0.00000,0.98627,0.35598,25.37368,0.03681,0.03283,0.06018,25.34301,0.03679,37.00000,49.00000,-12.00000
K2NbZnSe3Br3,1.37682,-1.41109,0.23017,30.00000,0.85000,0.41000,0.95964,0.35025,25.38874,0.03676,0.03282,0.05335,25.36817,0.03679,37.00000,13.00000,24.00000
