Formula,Predicted_Bandgap_eV,Predicted_Ef_eV_atom,Active_Material_Cost_m2,Panel_Lifetime_Years,Derate_Factor,Delta_Chi,Tolerance_Factor,Mu_Ratio,PCE_Median,LCOE_Median,LCOE_Q10_Best,LCOE_Q90_Worst,PCE_Old_Median,LCOE_Old_Median,Rank_Old,Rank_New,Rank_Delta,Lifetime_Ef_current,Lifetime_Ef_future
K2SnBiSe3I3,1.39124,-0.99726,0.47279,30.0,0.85,0.11,0.93695,0.34689,25.38652,0.03679,0.03286,0.05195,25.35868,0.03682,79.0,33.0,46.0,20.0,30.0
K2CrMnSe3I3,1.35025,-1.17631,0.47549,30.0,0.8482,0.11,0.96967,0.30144,25.35105,0.03686,0.03289,0.05701,25.34026,0.03682,79.0,102.0,-23.0,20.0,30.0
K2SnFeO3Br3,1.46187,-1.43156,0.09769,30.0,0.85,0.48,1.00004,0.39732,25.21391,0.03682,0.03285,0.04868,25.25067,0.03682,79.0,62.0,17.0,20.0,30.0
K2MnBiO3Br3,1.30877,-1.51921,0.14158,30.0,0.85,0.48,0.98535,0.41815,25.31556,0.03684,0.03284,0.06635,25.30747,0.03682,79.0,80.0,-1.0,20.0,30.0
Na2SnNbS3Br3,1.35965,-1.23322,0.15408,30.0,0.84848,0.38,0.90697,0.35,25.36135,0.03679,0.03284,0.05547,25.3324,0.03682,79.0,38.0,41.0,20.0,30.0
Na2TiWS6,1.44485,-1.36134,0.14348,30.0,0.85,0.0,0.93509,0.32745,25.27475,0.03679,0.03284,0.0492,25.26155,0.03682,79.0,36.0,43.0,20.0,30.0
Na2SnFeF3I3,1.35503,-1.93153,0.45813,30.0,0.78829,1.32,0.918,0.38034,23.50565,0.03834,0.03403,0.0593,25.35104,0.03682,79.0,789.0,-710.0,20.0,30.0
K2ZrSbSe3Br3,1.46591,-1.50889,0.25482,30.0,0.85,0.41,0.97059,0.33503,25.20624,0.03685,0.03288,0.04863,25.25809,0.03682,79.0,95.0,-16.0,20.0,30.0
K2MnZnCl3I3,1.41619,-1.35971,0.40196,30.0,0.85,0.5,0.95548,0.34539,25.35794,0.03679,0.03286,0.05037,25.32106,0.03682,79.0,32.0,47.0,20.0,30.0
K2SnNbSe3Cl3,1.38008,-1.60567,0.30115,30.0,0.85,0.61,0.97642,0.35092,25.39177,0.03676,0.03283,0.05302,25.31842,0.03682,79.0,17.0,62.0,20.0,30.0
K2SnTaSe3Br3,1.40028,-1.44714,0.57441,30.0,0.85,0.41,0.96875,0.33756,25.37367,0.03681,0.03287,0.05142,25.36052,0.03683,100.0,61.0,39.0,20.0,30.0
Na2SnCrS3Se3,1.32677,-1.02529,0.27445,30.0,0.85,0.03,0.91062,0.34162,25.3594,0.03683,0.03285,0.0617,25.32747,0.03683,100.0,78.0,22.0,20.0,30.0
Na2VFeO3Br3,1.45944,-1.82482,0.07236,30.0,0.85,0.48,0.95526,0.35268,25.21986,0.03681,0.03285,0.04875,25.21146,0.03683,100.0,50.0,50.0,20.0,30.0
Na2WSbO3I3,1.42951,-1.36491,0.47728,30.0,0.80899,0.78,0.93986,0.33333,24.06874,0.03781,0.03364,0.05159,25.31838,0.03683,100.0,585.0,-485.0,20.0,30.0
K2NbMnS3I3,1.34179,-1.2095,0.45488,30.0,0.85,0.08,0.97202,0.31807,25.40083,0.03683,0.03286,0.05845,25.35162,0.03683,100.0,77.0,23.0,20.0,30.0
K2TaCuS3Br3,1.38744,-1.32639,0.55174,30.0,0.85,0.38,0.96834,0.36053,25.39458,0.03681,0.03287,0.05235,25.35944,0.03683,100.0,48.0,52.0,20.0,30.0
Na2WBiSe3I3,1.41861,-0.95031,0.46622,30.0,0.83626,0.11,0.88835,0.32536,24.93218,0.03712,0.03312,0.05086,25.29707,0.03683,100.0,228.0,-128.0,20.0,30.0
K2FeSbO3I3,1.36235,-1.33126,0.47942,30.0,0.83458,0.78,1.00411,0.34583,24.93495,0.03716,0.03313,0.05588,25.38406,0.03683,100.0,252.0,-152.0,20.0,30.0
K2SbZnO3I3,1.3654,-1.28184,0.47521,30.0,0.85,0.78,0.9848,0.37222,25.40104,0.03681,0.03286,0.05477,25.33093,0.03683,100.0,57.0,43.0,20.0,30.0
K2NbSbS3Se3,1.45056,-1.04631,0.3443,30.0,0.85,0.03,0.99219,0.32461,25.25134,0.03683,0.03288,0.04914,25.26321,0.03683,100.0,79.0,21.0,20.0,30.0
K2VTaSe6,1.36402,-1.30199,0.73234,30.0,0.85,0.0,0.996,0.29798,25.40439,0.03685,0.03289,0.05503,25.34197,0.03683,100.0,98.0,2.0,20.0,30.0
K2TaFeSe3Cl3,1.38521,-1.52526,0.68019,30.0,0.84392,0.61,0.98507,0.33905,25.20527,0.03697,0.03299,0.0529,25.35638,0.03683,100.0,155.0,-55.0,20.0,30.0
K2NbFeSe3I3,1.39724,-1.20079,0.49488,30.0,0.85,0.11,0.96524,0.30742,25.37191,0.0368,0.03286,0.05162,25.28991,0.03683,100.0,39.0,61.0,20.0,30.0
Na2ZrSbSe3I3,1.40163,-1.14534,0.50592,30.0,0.83017,0.11,0.89481,0.31579,24.76387,0.03727,0.03322,0.05213,25.35163,0.03683,100.0,315.0,-215.0,20.0,30.0
Na2SnFeO3I3,1.39333,-1.31316,0.46303,30.0,0.83212,0.78,0.91415,0.37083,24.8329,0.0372,0.03318,0.05258,25.3232,0.03683,100.0,272.0,-172.0,20.0,30.0
Na2TiSbS3I3,1.33278,-1.06462,0.47514,30.0,0.82769,0.08,0.91944,0.29827,24.68911,0.03738,0.03328,0.06158,25.34248,0.03683,100.0,376.0,-276.0,20.0,30.0
Na2TaZnSe3Br3,1.38374,-1.3021,0.58418,30.0,0.83609,0.41,0.89319,0.35025,24.96424,0.03714,0.03312,0.05341,25.36936,0.03683,100.0,233.0,-133.0,20.0,30.0
K2TaCuO3Br3,1.33853,-1.82898,0.5864,30.0,0.85,0.48,0.99264,0.40774,25.39379,0.03686,0.03288,0.0592,25.3214,0.03684,117.0,105.0,12.0,20.0,30.0
Na2MnSbO3Se3,1.32792,-1.35606,0.31992,30.0,0.8329,0.89,0.94179,0.36834,24.83757,0.03723,0.03316,0.06236,25.32834,0.03684,117.0,292.0,-175.0,20.0,30.0
Na2VMnO3Br3,1.4695,-1.94915,0.07437,30.0,0.85,0.48,0.95526,0.35268,25.1946,0.03683,0.03286,0.0485,25.16411,0.03684,117.0,76.0,41.0,20.0,30.0
K2ZrWS3Se3,1.46061,-1.34468,0.27613,30.0,0.85,0.03,0.97674,0.34555,25.21763,0.03684,0.03288,0.04878,25.18449,0.03684,117.0,88.0,29.0,20.0,30.0
Na2VSbO3Se3,1.41724,-1.5255,0.36522,30.0,0.81022,0.89,0.96367,0.33728,24.13238,0.03774,0.0336,0.05199,25.28577,0.03684,117.0,554.0,-437.0,20.0,30.0
K2TaFeSe3Br3,1.37753,-1.43541,0.57503,30.0,0.84893,0.41,0.97709,0.32614,25.35522,0.03684,0.03289,0.05342,25.31511,0.03684,117.0,82.0,35.0,20.0,30.0
Na2CrWSe3Br3,1.32777,-1.21738,0.22369,30.0,0.8086,0.41,0.92178,0.30838,24.09059,0.03782,0.03361,0.06375,25.32441,0.03684,117.0,592.0,-475.0,20.0,30.0
K2SnZnCl3I3,1.44596,-1.3391,0.4142,30.0,0.85,0.5,0.94758,0.35661,25.26936,0.03684,0.03288,0.04924,25.26002,0.03684,117.0,81.0,36.0,20.0,30.0
K2NbMnSe3Br3,1.30541,-1.45398,0.23241,30.0,0.84893,0.41,0.97709,0.32614,25.27625,0.03688,0.03288,0.06747,25.28618,0.03684,117.0,119.0,-2.0,20.0,30.0
Na2VCuO3I3,1.32612,-1.51842,0.49992,30.0,0.82248,0.78,0.92635,0.35278,24.5125,0.03752,0.03339,0.06343,25.33171,0.03684,117.0,438.0,-321.0,20.0,30.0
K2MnBiO3I3,1.43121,-1.40814,0.4471,30.0,0.85,0.78,0.97201,0.39028,25.32054,0.03682,0.03288,0.04977,25.27374,0.03685,127.0,69.0,58.0,20.0,30.0
Na2TaFeSe3Cl3,1.34929,-1.42775,0.70297,30.0,0.81965,0.61,0.91541,0.33905,24.47106,0.03759,0.03345,0.05866,25.37692,0.03685,127.0,469.0,-342.0,20.0,30.0
Na2TaZnSe3I3,1.38151,-1.13313,0.77441,30.0,0.83903,0.11,0.88516,0.33014,25.05384,0.0371,0.03309,0.05352,25.35166,0.03685,127.0,221.0,-94.0,20.0,30.0
K2SnFeF3I3,1.36186,-1.98118,0.44783,30.0,0.81154,1.32,0.99097,0.38034,24.22746,0.03773,0.03356,0.05705,25.36993,0.03685,127.0,550.0,-423.0,20.0,30.0
